*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
16208  11.5  10.3  20.3   0.0
16209  16.4   9.0  20.5   0.1
16210   9.6  11.4  19.1   0.1
16211  16.8   8.7  21.6   0.0
16212  18.8   8.1  22.6   0.0
16213  12.7  10.1  20.1   0.0
16214  14.6  10.9  21.1   0.0
16215  18.5  10.0  23.5   0.6
16216  15.3  12.9  22.0   0.0
16217  10.2  11.2  18.3   0.0
16218  14.6  11.1  20.0   0.0
16219  16.2  10.5  20.8   0.1
16220  22.3  10.9  23.2   0.0
16221  21.3  10.7  22.4   0.0
16222  17.5  10.5  21.0   0.0
16223  17.8  12.0  22.1   0.4
16224  16.2  12.1  22.3   0.0
16225  13.7  13.4  21.1   0.6
16226  13.5  13.9  20.1   1.2
16227  10.8  12.0  20.5   0.0
16228  15.9  10.9  21.5   0.0
16229  18.1   9.7  23.4   0.0
16230  15.8  12.8  23.4   0.0
16231  17.4  11.2  24.4   0.0
16232  19.6   9.5  22.7   0.0
16233  23.1  12.9  23.5   0.0
16234  14.3  13.6  21.2   0.0
16235  19.4  13.1  22.8   0.0
16236  16.4  12.4  22.5   0.0
16237  16.5  12.7  22.2   0.0
16238  19.5  12.5  23.6   0.0
16239  21.3  10.9  24.0   0.0
16240  22.1  10.1  24.9   0.0
16241  23.6  10.1  25.6   0.2
16242  23.2  10.7  25.0   0.0
16243  22.7  10.1  25.3   0.0
16244  25.5  10.8  25.3   0.0
16245  24.6  12.0  24.0   0.0
16246  25.5  13.9  23.7   0.0
16247  23.3  13.8  23.8   0.0
16248  20.8  11.7  23.7   0.0
16249  18.2  12.1  21.6   0.2
16250  21.1  10.6  23.2   0.0
16251  23.0  12.2  24.6   0.0
16252  24.3  11.4  25.3   0.0
16253  20.7  12.0  24.8   0.0
16254  20.3  12.1  24.2   0.0
16255  19.8  10.5  24.3   0.0
16256  23.3  14.9  24.5   0.0
16257  21.9  14.1  25.1   0.0
16258  20.9  13.1  25.0   0.0
16259  17.9  13.9  24.2   0.0
16260  20.4  14.0  25.7   0.5
16261  21.0  13.8  25.6   0.0
16262  22.0  12.6  26.3   0.0
16263  21.8  12.9  27.1   0.0
16264  22.6  13.4  27.7   0.0
16265  20.0  14.3  27.1   0.0
16266  22.1  15.1  27.5   0.0
16267  27.1  14.1  27.0   0.0
16268  27.7  11.2  26.6   0.0
16269  26.4  12.1  26.4   0.0
16270  24.2  12.8  27.0   0.0
16271  22.8  12.2  27.2   0.1
16272  25.9  12.1  27.5   0.0
16273  27.7  11.3  27.6   0.0
16274  28.4  10.3  27.9   0.0
16275  25.9  11.7  26.9   0.0
16276  20.7  16.5  26.4   0.0
16277  22.7  15.6  26.4   0.0
16278  24.2  14.0  26.3   0.0
16279  26.0  13.6  26.5   0.0
16280  21.0  12.9  25.1   0.0
16281  22.6  13.3  26.8   0.0
16282  25.7  16.0  27.1   0.0
16283  22.9  15.7  27.8   0.0
16284  23.6  14.1  28.4   0.0
16285  22.6  14.8  28.1   0.0
16286  21.5  15.9  25.9   0.0
16287  26.0  13.9  27.0   0.0
16288  21.1  15.8  25.8   0.0
16289  22.4  14.6  28.0   0.0
16290  23.7  14.8  28.3   0.0
16291  25.7  14.2  28.5   0.0
16292  27.3  13.4  30.5   0.0
16293  23.6  14.8  29.5   0.0
16294  23.0  16.1  29.5   0.1
16295  25.0  14.9  28.6   0.0
16296  28.9  12.8  28.9   0.0
16297  21.2  15.1  28.3   0.0
16298  24.2  14.5  28.2   0.0
16299  21.4  14.9  27.4   0.0
16300  28.5  12.3  28.4   0.0
16301  26.6  14.3  30.9   0.0
16302  24.2  14.7  31.0   0.0
16303  22.5  16.1  31.1   0.0
16304  21.1  16.2  29.2   5.9
16305  20.9  18.9  30.9   2.7
16306  15.5  17.3  27.7  56.4
16307  10.3  16.6  23.3  34.0
16308  10.5  16.7  23.6   0.3
16309  17.0  16.2  25.6   0.0
16310  20.7  16.1  26.6   0.0
16311  22.5  15.4  25.9   0.0
16312  21.7  17.2  26.2   0.7
16313  14.1  16.5  22.5  12.7
16314  17.7  16.7  25.1   1.8
16315  23.0  16.3  25.7   0.0
16316  26.5  16.6  26.6   1.6
16317  21.0  16.2  25.9   0.0
16318  21.9  15.9  25.5   0.0
16319  19.4  17.2  25.0  15.8
16320  13.2  17.3  24.9   2.9
16321   8.8  17.1  24.0  32.4
16322  12.9  15.9  23.1   2.9
16323  21.4  16.2  26.0   0.4
16324  17.3  16.6  25.0   0.5
16325  17.0  17.0  25.2   8.8
16326  13.6  17.1  25.0   6.7
16327  11.5  17.5  23.6   1.9
16328   6.8  16.9  22.9  45.0
